unitid,year,Actual,Predicted,Residual
196264,2023,90.4342889582742,42.88646616651443,47.547822791759764
188225,2023,14.64788732394366,60.29883450486942,-45.650947180925755
455512,2023,54.08613089182774,8.543418818747774,45.54271207307997
188261,2023,7.84313725490196,51.00106536187393,-43.157928106971966
181419,2023,96.66666666666669,56.024211668663575,40.64245499800311
126119,2023,47.64555787520297,7.1495339145279555,40.49602396067501
188049,2023,21.58415841584159,61.899731056190234,-40.31557264034865
207050,2023,29.05263157894737,68.95361674944319,-39.900985170495815
495271,2023,77.47747747747748,39.932419147296976,37.5450583301805
187958,2023,15.37598204264871,51.52914639363378,-36.15316435098507
187976,2023,37.39495798319328,70.83326437717572,-33.438306393982444
366401,2023,9.665976943541237,42.205108928924794,-32.539131985383555
111434,2023,8.630586305863059,39.03733759923362,-30.406751293370558
121707,2023,25.86795674445077,53.89421670673886,-28.02625996228809
123800,2023,26.34615384615385,54.249382948855256,-27.903229102701406
118347,2023,11.27800407331975,38.46001110806927,-27.182007034749518
399212,2023,29.73711485913502,55.74639379076239,-26.00927893162737
105668,2023,81.24615699938512,55.79834743397673,25.44780956540839
108807,2023,14.29851510496672,38.81908789280116,-24.52057278783444
125471,2023,71.01827676240208,46.69375374835847,24.324523014043614
123217,2023,13.95089285714286,38.08689242632091,-24.135999569178047
120290,2023,31.53204943949411,55.12585201552776,-23.593802576033653
188137,2023,44.09131602506714,20.57724713821443,23.514068886852705
109907,2023,82.86266924564796,59.45897244512912,23.403696800518844
115861,2023,19.69190524633047,42.781148994191504,-23.089243747861033
198491,2023,80.2771855010661,57.221390470053805,23.055795031012295
219374,2023,53.1951640759931,30.30262146203178,22.892542613961318
115001,2023,28.99969409605384,51.72587002534461,-22.726175929290772
167525,2023,35.65380997177799,58.17402319854899,-22.520213226771
125091,2023,32.72486990996944,55.17627464831141,-22.45140473834197
228547,2023,15.33794201024519,37.68949810476315,-22.351556094517964
199953,2023,43.24659231722428,65.26962869278412,-22.023036375559847
124113,2023,24.96890547263682,46.83390228070057,-21.86499680806375
120953,2023,67.58336198006188,45.7812945666943,21.80206741336758
